File path,labels
F:\Similar Image Finder\dataset\13.jpg,1
F:\Similar Image Finder\dataset\130.jpg,3
F:\Similar Image Finder\dataset\1300.jpg,3
F:\Similar Image Finder\dataset\1301.jpg,2
F:\Similar Image Finder\dataset\1302.jpg,1
F:\Similar Image Finder\dataset\1303.jpg,1
F:\Similar Image Finder\dataset\1304.jpg,1
F:\Similar Image Finder\dataset\1305.jpg,3
F:\Similar Image Finder\dataset\1306.jpg,3
F:\Similar Image Finder\dataset\1307.jpg,3
F:\Similar Image Finder\dataset\1308.jpg,3
F:\Similar Image Finder\dataset\1309.jpg,3
F:\Similar Image Finder\dataset\131.jpg,2
F:\Similar Image Finder\dataset\1310.jpg,1
F:\Similar Image Finder\dataset\1311.jpg,2
F:\Similar Image Finder\dataset\1312.jpg,1
F:\Similar Image Finder\dataset\1313.jpg,1
F:\Similar Image Finder\dataset\1314.jpg,2
F:\Similar Image Finder\dataset\1315.jpg,0
F:\Similar Image Finder\dataset\1316.jpg,2
F:\Similar Image Finder\dataset\1317.jpg,1
F:\Similar Image Finder\dataset\1318.jpg,3
F:\Similar Image Finder\dataset\1319.jpg,1
F:\Similar Image Finder\dataset\132.jpg,0
F:\Similar Image Finder\dataset\1320.jpg,1
F:\Similar Image Finder\dataset\1321.jpg,1
F:\Similar Image Finder\dataset\1322.jpg,3
F:\Similar Image Finder\dataset\1323.jpg,3
F:\Similar Image Finder\dataset\1324.jpg,3
F:\Similar Image Finder\dataset\1325.jpg,3
F:\Similar Image Finder\dataset\1326.jpg,3
F:\Similar Image Finder\dataset\1327.jpg,3
F:\Similar Image Finder\dataset\1328.jpg,1
F:\Similar Image Finder\dataset\1329.jpg,3
F:\Similar Image Finder\dataset\133.jpg,3
F:\Similar Image Finder\dataset\1330.jpg,1
F:\Similar Image Finder\dataset\1331.jpg,0
F:\Similar Image Finder\dataset\1332.jpg,0
F:\Similar Image Finder\dataset\1333.jpg,3
F:\Similar Image Finder\dataset\1334.jpg,0
F:\Similar Image Finder\dataset\1335.jpg,3
F:\Similar Image Finder\dataset\1336.jpg,2
F:\Similar Image Finder\dataset\1337.jpg,2
F:\Similar Image Finder\dataset\1338.jpg,3
F:\Similar Image Finder\dataset\1339.jpg,1
F:\Similar Image Finder\dataset\134.jpg,0
F:\Similar Image Finder\dataset\1340.jpg,3
F:\Similar Image Finder\dataset\1341.jpg,1
F:\Similar Image Finder\dataset\1342.jpg,2
F:\Similar Image Finder\dataset\1343.jpg,1
F:\Similar Image Finder\dataset\1344.jpg,0
F:\Similar Image Finder\dataset\1345.jpg,3
F:\Similar Image Finder\dataset\1346.jpg,0
F:\Similar Image Finder\dataset\1347.jpg,2
F:\Similar Image Finder\dataset\1348.jpg,1
F:\Similar Image Finder\dataset\1349.jpg,3
F:\Similar Image Finder\dataset\135.jpg,2
F:\Similar Image Finder\dataset\1350.jpg,3
F:\Similar Image Finder\dataset\1351.jpg,2
F:\Similar Image Finder\dataset\1352.jpg,3
F:\Similar Image Finder\dataset\1353.jpg,3
F:\Similar Image Finder\dataset\1354.jpg,1
F:\Similar Image Finder\dataset\1355.jpg,1
F:\Similar Image Finder\dataset\1356.jpg,0
F:\Similar Image Finder\dataset\1357.jpg,2
F:\Similar Image Finder\dataset\1358.jpg,0
F:\Similar Image Finder\dataset\1359.jpg,1
F:\Similar Image Finder\dataset\136.jpg,0
F:\Similar Image Finder\dataset\1360.jpg,2
F:\Similar Image Finder\dataset\1361.jpg,3
F:\Similar Image Finder\dataset\1362.jpg,0
F:\Similar Image Finder\dataset\1363.jpg,2
F:\Similar Image Finder\dataset\1364.jpg,3
F:\Similar Image Finder\dataset\1365.jpg,1
F:\Similar Image Finder\dataset\1366.jpg,2
F:\Similar Image Finder\dataset\1367.jpg,3
F:\Similar Image Finder\dataset\1368.jpg,0
F:\Similar Image Finder\dataset\1369.jpg,1
F:\Similar Image Finder\dataset\137.jpg,1
F:\Similar Image Finder\dataset\1370.jpg,0
F:\Similar Image Finder\dataset\1371.jpg,1
F:\Similar Image Finder\dataset\1372.jpg,3
F:\Similar Image Finder\dataset\1373.jpg,1
F:\Similar Image Finder\dataset\1374.jpg,2
F:\Similar Image Finder\dataset\1375.jpg,0
F:\Similar Image Finder\dataset\1376.jpg,1
F:\Similar Image Finder\dataset\1377.jpg,1
F:\Similar Image Finder\dataset\1378.jpg,1
F:\Similar Image Finder\dataset\1379.jpg,2
F:\Similar Image Finder\dataset\138.jpg,3
F:\Similar Image Finder\dataset\1380.jpg,3
F:\Similar Image Finder\dataset\1381.jpg,1
F:\Similar Image Finder\dataset\1382.jpg,2
F:\Similar Image Finder\dataset\1383.jpg,3
F:\Similar Image Finder\dataset\1384.jpg,3
F:\Similar Image Finder\dataset\1385.jpg,1
F:\Similar Image Finder\dataset\1386.jpg,0
F:\Similar Image Finder\dataset\1387.jpg,1
F:\Similar Image Finder\dataset\1388.jpg,2
F:\Similar Image Finder\dataset\1389.jpg,1
F:\Similar Image Finder\dataset\139.jpg,0
F:\Similar Image Finder\dataset\1390.jpg,0
F:\Similar Image Finder\dataset\1391.jpg,1
F:\Similar Image Finder\dataset\1392.jpg,3
F:\Similar Image Finder\dataset\1393.jpg,3
F:\Similar Image Finder\dataset\1394.jpg,0
F:\Similar Image Finder\dataset\1395.jpg,3
F:\Similar Image Finder\dataset\1396.jpg,1
F:\Similar Image Finder\dataset\1397.jpg,0
F:\Similar Image Finder\dataset\1398.jpg,1
F:\Similar Image Finder\dataset\1399.jpg,2
F:\Similar Image Finder\dataset\14.jpg,2
F:\Similar Image Finder\dataset\140.jpg,1
F:\Similar Image Finder\dataset\1400.jpg,1
F:\Similar Image Finder\dataset\1401.jpg,0
F:\Similar Image Finder\dataset\1402.jpg,3
F:\Similar Image Finder\dataset\1403.jpg,3
F:\Similar Image Finder\dataset\1404.jpg,1
F:\Similar Image Finder\dataset\1405.jpg,1
F:\Similar Image Finder\dataset\1406.jpg,3
F:\Similar Image Finder\dataset\1407.jpg,1
F:\Similar Image Finder\dataset\1408.jpg,3
F:\Similar Image Finder\dataset\1409.jpg,0
F:\Similar Image Finder\dataset\141.jpg,1
F:\Similar Image Finder\dataset\1410.jpg,1
F:\Similar Image Finder\dataset\1411.jpg,3
F:\Similar Image Finder\dataset\1412.jpg,0
F:\Similar Image Finder\dataset\1413.jpg,1
F:\Similar Image Finder\dataset\1414.jpg,2
F:\Similar Image Finder\dataset\1415.jpg,3
F:\Similar Image Finder\dataset\1416.jpg,2
F:\Similar Image Finder\dataset\1417.jpg,1
F:\Similar Image Finder\dataset\1418.jpg,3
F:\Similar Image Finder\dataset\1419.jpg,3
F:\Similar Image Finder\dataset\142.jpg,1
F:\Similar Image Finder\dataset\1420.jpg,1
F:\Similar Image Finder\dataset\1421.jpg,2
F:\Similar Image Finder\dataset\1422.jpg,3
F:\Similar Image Finder\dataset\1423.jpg,3
F:\Similar Image Finder\dataset\1424.jpg,1
F:\Similar Image Finder\dataset\1425.jpg,1
F:\Similar Image Finder\dataset\1426.jpg,0
F:\Similar Image Finder\dataset\1427.jpg,3
F:\Similar Image Finder\dataset\1428.jpg,2
F:\Similar Image Finder\dataset\1429.jpg,3
F:\Similar Image Finder\dataset\143.jpg,3
F:\Similar Image Finder\dataset\1430.jpg,1
F:\Similar Image Finder\dataset\1431.jpg,0
F:\Similar Image Finder\dataset\1432.jpg,1
F:\Similar Image Finder\dataset\1433.jpg,1
F:\Similar Image Finder\dataset\1434.jpg,1
F:\Similar Image Finder\dataset\1435.jpg,3
F:\Similar Image Finder\dataset\1436.jpg,0
F:\Similar Image Finder\dataset\1437.jpg,3
F:\Similar Image Finder\dataset\1438.jpg,1
F:\Similar Image Finder\dataset\1439.jpg,3
F:\Similar Image Finder\dataset\144.jpg,3
F:\Similar Image Finder\dataset\1440.jpg,1
F:\Similar Image Finder\dataset\1441.jpg,0
F:\Similar Image Finder\dataset\1442.jpg,1
F:\Similar Image Finder\dataset\1443.jpg,1
F:\Similar Image Finder\dataset\1444.jpg,1
F:\Similar Image Finder\dataset\1445.jpg,0
F:\Similar Image Finder\dataset\1446.jpg,0
F:\Similar Image Finder\dataset\1447.jpg,3
F:\Similar Image Finder\dataset\1448.jpg,2
F:\Similar Image Finder\dataset\1449.jpg,0
F:\Similar Image Finder\dataset\145.jpg,2
F:\Similar Image Finder\dataset\1450.jpg,1
F:\Similar Image Finder\dataset\1451.jpg,2
F:\Similar Image Finder\dataset\1452.jpg,1
F:\Similar Image Finder\dataset\1453.jpg,0
F:\Similar Image Finder\dataset\1454.jpg,3
F:\Similar Image Finder\dataset\1455.jpg,2
F:\Similar Image Finder\dataset\1456.jpg,2
F:\Similar Image Finder\dataset\1457.jpg,3
F:\Similar Image Finder\dataset\1458.jpg,0
F:\Similar Image Finder\dataset\1459.jpg,3
F:\Similar Image Finder\dataset\146.jpg,3
F:\Similar Image Finder\dataset\1460.jpg,0
F:\Similar Image Finder\dataset\1461.jpg,3
F:\Similar Image Finder\dataset\1462.jpg,2
F:\Similar Image Finder\dataset\1463.jpg,2
F:\Similar Image Finder\dataset\1464.jpg,1
F:\Similar Image Finder\dataset\1465.jpg,1
F:\Similar Image Finder\dataset\1466.jpg,3
F:\Similar Image Finder\dataset\1467.jpg,3
F:\Similar Image Finder\dataset\1468.jpg,3
F:\Similar Image Finder\dataset\1469.jpg,1
F:\Similar Image Finder\dataset\147.jpg,0
F:\Similar Image Finder\dataset\1470.jpg,3
F:\Similar Image Finder\dataset\1471.jpg,2
F:\Similar Image Finder\dataset\1472.jpg,1
F:\Similar Image Finder\dataset\1473.jpg,3
F:\Similar Image Finder\dataset\1474.jpg,1
F:\Similar Image Finder\dataset\1475.jpg,3
F:\Similar Image Finder\dataset\1476.jpg,0
F:\Similar Image Finder\dataset\1477.jpg,3
F:\Similar Image Finder\dataset\1478.jpg,0
F:\Similar Image Finder\dataset\1479.jpg,1
F:\Similar Image Finder\dataset\148.jpg,3
F:\Similar Image Finder\dataset\1480.jpg,2
F:\Similar Image Finder\dataset\1481.jpg,3
F:\Similar Image Finder\dataset\1482.jpg,2
F:\Similar Image Finder\dataset\1483.jpg,3
F:\Similar Image Finder\dataset\1484.jpg,2
F:\Similar Image Finder\dataset\1485.jpg,1
F:\Similar Image Finder\dataset\1486.jpg,0
F:\Similar Image Finder\dataset\1487.jpg,3
F:\Similar Image Finder\dataset\1488.jpg,2
F:\Similar Image Finder\dataset\1489.jpg,0
F:\Similar Image Finder\dataset\149.jpg,0
F:\Similar Image Finder\dataset\1490.jpg,2
F:\Similar Image Finder\dataset\1491.jpg,3
F:\Similar Image Finder\dataset\1492.jpg,3
F:\Similar Image Finder\dataset\1493.jpg,0
F:\Similar Image Finder\dataset\1494.jpg,1
F:\Similar Image Finder\dataset\1495.jpg,0
F:\Similar Image Finder\dataset\1496.jpg,3
F:\Similar Image Finder\dataset\1497.jpg,3
F:\Similar Image Finder\dataset\1498.jpg,0
F:\Similar Image Finder\dataset\1499.jpg,1
F:\Similar Image Finder\dataset\15.jpg,0
F:\Similar Image Finder\dataset\150.jpg,2
F:\Similar Image Finder\dataset\1500.jpg,0
F:\Similar Image Finder\dataset\1501.jpg,2
